epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5535.23,0.80809,0.71943,1.19094,0.83301,0.92163,0.9297,0.72904,0.70127,0.64452,1.26691,0.000438703,0.000438703,0.000438703
72,5613.8,0.79782,0.70452,1.18538,0.83228,0.85588,0.92392,0.73756,0.71409,0.72446,1.27976,0.000424556,0.000424556,0.000424556
73,5690.51,0.80088,0.70498,1.1927,0.81145,0.86706,0.90505,0.72096,0.69424,0.68522,1.26099,0.000410409,0.000410409,0.000410409
74,5766.82,0.79936,0.69649,1.18734,0.84747,0.89846,0.93191,0.73889,0.69413,0.70662,1.27303,0.000396262,0.000396262,0.000396262
75,5841.56,0.80701,0.69558,1.18838,0.84979,0.89243,0.93456,0.72744,0.70655,0.60391,1.28693,0.000382115,0.000382115,0.000382115
76,5917.89,0.7908,0.68749,1.17583,0.81806,0.89643,0.92318,0.72564,0.70613,0.64659,1.27096,0.000367967,0.000367967,0.000367967
77,5996.82,0.80173,0.69964,1.18583,0.88127,0.92091,0.95324,0.75347,0.6973,0.5698,1.27304,0.00035382,0.00035382,0.00035382
78,6073.66,0.78772,0.68272,1.17751,0.84884,0.88137,0.92523,0.73766,0.71671,0.65437,1.27077,0.000339673,0.000339673,0.000339673
79,6150.76,0.78244,0.66845,1.1754,0.85393,0.92,0.945,0.74343,0.71137,0.61491,1.26756,0.000325526,0.000325526,0.000325526
80,6228.27,0.78323,0.68002,1.17713,0.84535,0.91263,0.94084,0.75025,0.68916,0.63515,1.24704,0.000311379,0.000311379,0.000311379
81,6304.41,0.7621,0.65008,1.16133,0.88423,0.91799,0.95248,0.76864,0.69905,0.54155,1.26542,0.000297232,0.000297232,0.000297232
82,6381.66,0.75487,0.65444,1.1593,0.82958,0.88107,0.91519,0.74067,0.69388,0.68914,1.2544,0.000283085,0.000283085,0.000283085
83,6458.44,0.75695,0.65238,1.15698,0.86515,0.9205,0.95069,0.75335,0.70741,0.53921,1.27545,0.000268938,0.000268938,0.000268938
84,6535.27,0.75608,0.6534,1.15939,0.84055,0.91616,0.93361,0.74078,0.69114,0.63642,1.2547,0.000254791,0.000254791,0.000254791
85,6611.71,0.76055,0.64378,1.15911,0.84666,0.90049,0.93217,0.73937,0.69407,0.66962,1.26039,0.000240644,0.000240644,0.000240644
86,6687.72,0.75805,0.64672,1.15882,0.88739,0.89093,0.94605,0.75531,0.68513,0.58981,1.25378,0.000226497,0.000226497,0.000226497
87,6764.2,0.73902,0.62809,1.15193,0.87667,0.89677,0.95258,0.77108,0.66631,0.56608,1.23103,0.000212349,0.000212349,0.000212349
88,6841.43,0.7429,0.63059,1.14709,0.87057,0.89401,0.94476,0.75977,0.66909,0.5963,1.23226,0.000198202,0.000198202,0.000198202
89,6918.37,0.73107,0.61824,1.14893,0.84496,0.87469,0.92953,0.73938,0.67846,0.69101,1.24161,0.000184055,0.000184055,0.000184055
90,6995.62,0.73131,0.61596,1.14415,0.85486,0.88,0.93151,0.75007,0.68244,0.65738,1.24902,0.000169908,0.000169908,0.000169908
91,7071.9,0.57738,0.41065,1.05405,0.83843,0.89062,0.93159,0.7442,0.68475,0.62435,1.25927,0.000155761,0.000155761,0.000155761
92,7143.78,0.55676,0.37678,1.02982,0.84838,0.86534,0.92375,0.73367,0.67341,0.6608,1.25541,0.000141614,0.000141614,0.000141614
93,7216.64,0.5433,0.36374,1.01665,0.84683,0.93372,0.9373,0.74844,0.67195,0.60373,1.25705,0.000127467,0.000127467,0.000127467
94,7289.36,0.54944,0.36122,1.01834,0.84055,0.88402,0.93158,0.746,0.67314,0.66024,1.24902,0.00011332,0.00011332,0.00011332
95,7361.69,0.54485,0.36173,1.02172,0.84358,0.86418,0.92593,0.73733,0.67868,0.68032,1.25511,9.91726e-05,9.91726e-05,9.91726e-05
96,7433.6,0.52781,0.35112,1.01389,0.83756,0.87996,0.92061,0.74005,0.68004,0.6761,1.251,8.50255e-05,8.50255e-05,8.50255e-05
97,7506.03,0.52465,0.34824,1.00748,0.85179,0.89327,0.93265,0.75139,0.67214,0.63503,1.24957,7.08784e-05,7.08784e-05,7.08784e-05
98,7579.5,0.52616,0.33961,1.00554,0.83276,0.8747,0.91886,0.74211,0.68447,0.71386,1.25822,5.67313e-05,5.67313e-05,5.67313e-05
99,7652.35,0.52079,0.33858,1.00717,0.84194,0.86049,0.91182,0.73447,0.69143,0.7353,1.26073,4.25842e-05,4.25842e-05,4.25842e-05
100,7724.61,0.52604,0.34327,1.01582,0.83975,0.86944,0.92085,0.74065,0.68437,0.68712,1.25291,2.84371e-05,2.84371e-05,2.84371e-05
